2025-09-05 14:34:49,005 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:49
2025-09-05 14:34:50,257 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:50
2025-09-05 14:34:51,526 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:51
2025-09-05 14:34:52,792 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:52
2025-09-05 14:34:54,057 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:54
2025-09-05 14:34:55,306 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:55
2025-09-05 14:34:56,554 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:56
2025-09-05 14:34:57,798 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:57
2025-09-05 14:34:59,053 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:34:59
2025-09-05 14:35:00,304 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:00
2025-09-05 14:35:01,554 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:01
2025-09-05 14:35:02,806 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:02
2025-09-05 14:35:04,054 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:04
2025-09-05 14:35:05,301 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:05
2025-09-05 14:35:06,553 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:06
2025-09-05 14:35:07,804 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:07
2025-09-05 14:35:09,054 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:09
2025-09-05 14:35:10,299 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:10
2025-09-05 14:35:11,549 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:11
2025-09-05 14:35:12,803 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:12
2025-09-05 14:35:14,052 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:14
2025-09-05 14:35:15,309 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:15
2025-09-05 14:35:16,575 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:16
2025-09-05 14:35:17,843 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:17
2025-09-05 14:35:19,107 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:19
2025-09-05 14:35:20,374 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:20
2025-09-05 14:35:21,640 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:21
2025-09-05 14:35:22,884 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:22
2025-09-05 14:35:24,134 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:24
2025-09-05 14:35:25,386 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:25
2025-09-05 14:35:26,642 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:26
2025-09-05 14:35:27,904 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:27
2025-09-05 14:35:29,160 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:29
2025-09-05 14:35:30,427 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:30
2025-09-05 14:35:31,688 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:31
2025-09-05 14:35:32,945 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:32
2025-09-05 14:35:34,204 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:34
2025-09-05 14:35:35,454 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:35
2025-09-05 14:35:36,701 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:36
2025-09-05 14:35:37,950 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:37
2025-09-05 14:35:39,205 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:39
2025-09-05 14:35:40,459 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:40
2025-09-05 14:35:41,734 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:41
2025-09-05 14:35:42,987 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:42
2025-09-05 14:35:44,241 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:44
2025-09-05 14:35:45,514 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:45
2025-09-05 14:35:46,772 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:46
2025-09-05 14:35:48,023 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:48
2025-09-05 14:35:49,288 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:49
2025-09-05 14:35:50,543 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:50
2025-09-05 14:35:51,810 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:51
2025-09-05 14:35:53,069 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:53
2025-09-05 14:35:54,323 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:54
2025-09-05 14:35:55,594 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:55
2025-09-05 14:35:56,856 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:56
2025-09-05 14:35:58,465 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:58
2025-09-05 14:35:59,723 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:35:59
2025-09-05 14:36:00,991 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:00
2025-09-05 14:36:02,260 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:02
2025-09-05 14:36:03,536 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:03
2025-09-05 14:36:04,877 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:04
2025-09-05 14:36:06,143 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:06
2025-09-05 14:36:07,408 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:07
2025-09-05 14:36:08,681 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:08
2025-09-05 14:36:09,940 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:09
2025-09-05 14:36:11,209 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:11
2025-09-05 14:36:12,473 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:12
2025-09-05 14:36:13,722 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:13
2025-09-05 14:36:14,971 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:14
2025-09-05 14:36:16,216 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:16
2025-09-05 14:36:17,474 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:17
2025-09-05 14:36:18,738 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:18
2025-09-05 14:36:19,986 - INFO - 未偵測到寶箱, 視窗位置 : (1920, -152, 3840, 928), 相似度 0.64, 時間：2025-09-05 14:36:19
